Title	URL	Author	Page views	Creation date	Status
Over a foot of snow blankets Lake Michigan shoreline	https://assets.msn.com/labs/mind/BBWENn5.html	newsscienceandtechnology	8.0	Nov 2019	newsscienceandtechnology
SpaceX launches 60 Starlink satellites, hitting major milestones in rocket reusability	https://assets.msn.com/labs/mind/BBWAx73.html	newsscienceandtechnology	10.0	Nov 2019	newsscienceandtechnology
Report: Anthony Davis expected to sit out Wednesday vs. Warriors	https://assets.msn.com/labs/mind/BBWHKUo.html	basketball_nba	139.0	Nov 2019	basketball_nba
Supreme Court's conservatives seem to back Trump on ending DACA as supporters hold rallies in LA	https://assets.msn.com/labs/mind/BBWENno.html	newspolitics	30.0	Nov 2019	newspolitics
Here comes the snow: Winter Storm Warnings, Advisories issued throughout Northeast Ohio	https://assets.msn.com/labs/mind/BBWAx87.html	weathertopstories	17.0	Nov 2019	weathertopstories
Top Miami news: City postpones vote on next steps for MLS team; man shot outside Steve's Pizza; more	https://assets.msn.com/labs/mind/BBWHKWt.html	newsus	35.0	Nov 2019	newsus
Popular teen shopping app attracts creepy, harassing messages	https://assets.msn.com/labs/mind/BBWENp4.html	newsscienceandtechnology	294.99999999999994	Nov 2019	newsscienceandtechnology
The biggest medical advances of the decade	https://assets.msn.com/labs/mind/BBWAxI6.html	medical	658.0	Nov 2019	medical
Memphis high school football playoffs: First round scoreboard	https://assets.msn.com/labs/mind/BBWuhgF.html	basketball_ncaa	4.0	Nov 2019	basketball_ncaa
Kiss sets closing dates of farewell tour, including one last Detroit visit	https://assets.msn.com/labs/mind/BBWKPhW.html	musicnews	4.0	Nov 2019	musicnews
Early access changed everything about games	https://assets.msn.com/labs/mind/BBWHKXJ.html	gaming	28.0	Nov 2019	gaming
Kevin Plawecki participated in 2019	https://assets.msn.com/labs/mind/BBWENpB.html	baseball_mlb	24.999999999999996	Nov 2019	baseball_mlb
Airline Apologizes After False Hijack Alarm Causes Dozens of Flight Delays	https://assets.msn.com/labs/mind/BBWq2Jc.html	travelnews	5.0	Nov 2019	travelnews
Longtime Republican Rep. Pete King won't seek reelection	https://assets.msn.com/labs/mind/BBWAxJE.html	elections-2020-us	6426.0	Nov 2019	elections-2020-us
Switzerland Decides to Keep Emergency Coffee Stockpile After Public Backlash   for Now	https://assets.msn.com/labs/mind/BBWHKXn.html	popculture	35.0	Nov 2019	popculture
Guy Fieri's 'Chicken Guy!' chain coming to Nashville and other Tennessee cities	https://assets.msn.com/labs/mind/BBWENtf.html	newstrends	19.0	Nov 2019	newstrends
Meghan Markle Says That Archie Has Two Teeth and Is Crawling	https://assets.msn.com/labs/mind/BBWq2LS.html	lifestyleroyals	3828.0	Nov 2019	lifestyleroyals
5 Standout Electric Motorcycles From EICMA	https://assets.msn.com/labs/mind/BBWtMlp.html	autosmotorcycles	20.0	Nov 2019	autosmotorcycles
See the Seeandbee: The luxury Cleveland steamship transformed into aircraft carrier for World War II	https://assets.msn.com/labs/mind/BBWAxRV.html	travelarticle	3.0	Nov 2019	travelarticle
As singer John Legend watched, felons who served their time get their right to vote restored	https://assets.msn.com/labs/mind/BBWuhlY.html	newsus	3.0	Nov 2019	newsus
Local deals for days: The best things to do deals in Austin today	https://assets.msn.com/labs/mind/BBWKPlI.html	newstrends	9.0	Nov 2019	newstrends
It's official: Arctic blast breaks temperature records in North Jersey	https://assets.msn.com/labs/mind/BBWHKYl.html	weathertopstories	4.0	Nov 2019	weathertopstories
Everett waterfront gets $15.5 million federal grant for improvements	https://assets.msn.com/labs/mind/BBWtMmg.html	newspolitics	26.0	Nov 2019	newspolitics
Fuel-theft rings fill South Florida roads with 'moving bombs'	https://assets.msn.com/labs/mind/BBWAxSL.html	newsus	76.0	Nov 2019	newsus
Cleveland Cavaliers star Kevin Love receives NBA Cares award for raising awareness about mental health	https://assets.msn.com/labs/mind/BBWKPn9.html	basketball_nba	4.0	Nov 2019	basketball_nba
Here's Why San Francisco Ranks as One of America's Best Food Cities	https://assets.msn.com/labs/mind/BBWHKb7.html	travelnews	35.0	Nov 2019	travelnews
Why Associated Press Top 25 poll may be good news for Kentucky basketball tournament hopes	https://assets.msn.com/labs/mind/BBWAxYF.html	football_ncaa	35.0	Nov 2019	football_ncaa
How to travel from Orlando to Tbilisi on the cheap	https://assets.msn.com/labs/mind/BBWHKbp.html	newsus	4.0	Nov 2019	newsus
Rep. Hoyer: I'll reserve judgment until I hear all testimony	https://assets.msn.com/labs/mind/BBWKPoZ.html	newsus	9.0	Nov 2019	newsus
Official: U.S. Warns Egypt of Sanctions Over Russian Warplane Purchase	https://assets.msn.com/labs/mind/BBWM4yg.html	newsworld	21.0	Nov 2019	newsworld
Calls for reform in Springfield amid scandal are nothing new: 'It's deja vu all over again'	https://assets.msn.com/labs/mind/BBWAxYn.html	newspolitics	14.0	Nov 2019	newspolitics
3 children taken to hospital after crash involving school van in Brockton	https://assets.msn.com/labs/mind/BBWKPp8.html	newscrime	33.0	Nov 2019	newscrime
Is Rihanna Taking a Break? Read Her Cryptic Post About Her 'Overwhelming' Year	https://assets.msn.com/labs/mind/BBWHKe8.html	musicnews	117.0	Nov 2019	musicnews
Unmarked Graves Found Beneath Historic New Jersey Church, Scientists Looking For Human Remains	https://assets.msn.com/labs/mind/BBWM50B.html	travelarticle	38.0	Nov 2019	travelarticle
Impasse over state budget may drag on until December	https://assets.msn.com/labs/mind/BBWENvl.html	newspolitics	23.0	Nov 2019	newspolitics
LA Live guide: 20 things to do around Staples Center in DTLA	https://assets.msn.com/labs/mind/BBWKPqB.html	travelnews	3.0	Nov 2019	travelnews
This Louisville Restaurant Serves an Amazing Thanksgiving Dinner	https://assets.msn.com/labs/mind/BBWHKhL.html	newstrends	25.0	Nov 2019	newstrends
How to Brine a Turkey & Why You Should	https://assets.msn.com/labs/mind/BBWM50E.html	tipsandtricks	66.0	Nov 2019	tipsandtricks
3 Weekend Baking Projects for When Your Heart Needs a Little Help	https://assets.msn.com/labs/mind/BBWtMsQ.html	recipes	1837.0	Nov 2019	recipes
Stewart Friesen wins at Phoenix to advance to Truck championship race	https://assets.msn.com/labs/mind/BBWuhuQ.html	racing	6.0	Nov 2019	racing
New York City launches new homeless outreach program; Advocates call it 'mass surveillance'	https://assets.msn.com/labs/mind/BBWKPqR.html	newsus	4.0	Nov 2019	newsus
Grand Rapids approves settlement with Veteran detained by ICE	https://assets.msn.com/labs/mind/BBWHKi6.html	newscrime	28.999999999999996	Nov 2019	newscrime
Giuliani Faces U.S. Probe on Campaign Finance, Lobbying Breaches	https://assets.msn.com/labs/mind/BBWM51o.html	newspolitics	102.0	Nov 2019	newspolitics
In Iowa, Bernie Sanders Seeks To Cement His Status As The Climate Candidate	https://assets.msn.com/labs/mind/BBWtMv3.html	elections-2020-us	12.0	Nov 2019	elections-2020-us
Wildcatter billionaire not giving up Permian Basin without a fight	https://assets.msn.com/labs/mind/BBWAxbj.html	financenews	8.0	Nov 2019	financenews
Hong Kong pro-democracy lawmakers charged, student mourned	https://assets.msn.com/labs/mind/BBWuhv4.html	newsworld	809.0	Nov 2019	newsworld
Michigan State heads to Michigan looking to extend success of road teams in heated rivalry	https://assets.msn.com/labs/mind/BBWKPuo.html	football_ncaa	4.0	Nov 2019	football_ncaa
Eagles coach Doug Pederson's press conference, 10:30 a.m. | Live video	https://assets.msn.com/labs/mind/BBWHKiV.html	football_nfl	13.0	Nov 2019	football_nfl
Gracepoint School offers special help for dyslexic students	https://assets.msn.com/labs/mind/BBWM52d.html	lifestylefamily	9.0	Nov 2019	lifestylefamily
Police Are Asking For Assistance In Locating A Missing Boy	https://assets.msn.com/labs/mind/BBWAxhB.html	newsus	13.0	Nov 2019	newsus
Harsh cold to ease over central, eastern US during 3rd week of November	https://assets.msn.com/labs/mind/BBWHKiY.html	weathertopstories	97.0	Nov 2019	weathertopstories
Kings vs. Trailblazers Fan Predictions	https://assets.msn.com/labs/mind/BBWEO91.html	basketball_nba	7.0	Nov 2019	basketball_nba
Storm Alert: Snow and bitter cold expected in St. Louis	https://assets.msn.com/labs/mind/BBWAxhV.html	weathertopstories	34.0	Nov 2019	weathertopstories
Does Sleeping Poorly Increase Cancer Risk?	https://assets.msn.com/labs/mind/BBWuhzZ.html	medical	692.0	Nov 2019	medical
Plans for rebuilding Notre Dame's spire cause a fight	https://assets.msn.com/labs/mind/BBWKPxQ.html	newsworld	894.0000000000001	Nov 2019	newsworld
Feds: Butler County man illegally bought gun that killed Dayton detective	https://assets.msn.com/labs/mind/BBWHKjP.html	newscrime	72.0	Nov 2019	newscrime
Narrative Medicine: the Importance of Storytelling in Health Care	https://assets.msn.com/labs/mind/BBWAxhg.html	wellness	124.0	Nov 2019	wellness
Timberwolves overcome Russell's 52 points, tip Warriors in OT	https://assets.msn.com/labs/mind/BBWui2W.html	basketball_nba	266.0	Nov 2019	basketball_nba
Florida Gators football: Gators out to prevent another season of misery vs. Missouri	https://assets.msn.com/labs/mind/BBWKPzK.html	football_ncaa	5.0	Nov 2019	football_ncaa
12 Best Black Friday SUV Purchase Deals	https://assets.msn.com/labs/mind/BBWtMyv.html	autosnews	3.0	Nov 2019	autosnews
Instagram test of hiding 'likes' spreading to US	https://assets.msn.com/labs/mind/BBWui5K.html	newsscienceandtechnology	194.99999999999997	Nov 2019	newsscienceandtechnology
U.S. weekly jobless claims rise to five-month high	https://assets.msn.com/labs/mind/BBWKQ9Z.html	markets	856.0	Nov 2019	markets
Supreme Court says Ginsburg home sick with stomach bug	https://assets.msn.com/labs/mind/BBWHKmN.html	newsus	62.0	Nov 2019	newsus
Flames' Brodie discharged from hospital after collapsing at practice	https://assets.msn.com/labs/mind/BBWM5GD.html	icehockey_nhl	176.0	Nov 2019	icehockey_nhl
Snow Blankets Northern Michigan as Cold Front Sweeps Through	https://assets.msn.com/labs/mind/BBWtN00.html	weathertopstories	20.0	Nov 2019	weathertopstories
Endangered falcons released into wild atop New York City high-rise	https://assets.msn.com/labs/mind/BBWHKmc.html	newsus	48.0	Nov 2019	newsus
Chris Matthews: Headlines across the country show case against Trump	https://assets.msn.com/labs/mind/BBWM5GT.html	news	4.0	Nov 2019	news
Baltimore to soon stop taking public housing applications	https://assets.msn.com/labs/mind/BBWEOCA.html	newsus	6.0	Nov 2019	newsus
Halle Berry, 53, flaunts chiseled abs on Instagram: See the pic	https://assets.msn.com/labs/mind/BBWtN08.html	movies-celebrity	4563.0	Nov 2019	movies-celebrity
Nashville General Hospital wants to open more clinics beyond the Meharry campus	https://assets.msn.com/labs/mind/BBWAxsV.html	newsus	13.0	Nov 2019	newsus
Dotson had 22 points, No. 3 Kansas beats UNC Greensboro	https://assets.msn.com/labs/mind/BBWui5s.html	basketball_ncaa	7.0	Nov 2019	basketball_ncaa
If you're in the yellow, you'll get Colts vs. Jaguars on TV	https://assets.msn.com/labs/mind/BBWKQDn.html	football_nfl	19.0	Nov 2019	football_nfl
MLB investigating Astros for sign stealing	https://assets.msn.com/labs/mind/BBWEOCZ.html	baseball_mlb	7.0	Nov 2019	baseball_mlb
Here's how social media tricks you into overspending	https://assets.msn.com/labs/mind/BBWAxuf.html	finance-savemoney	5110.0	Nov 2019	finance-savemoney
Robbinsville completes perfect regular season with win over Murphy	https://assets.msn.com/labs/mind/BBWui6y.html	football_ncaa	6.0	Nov 2019	football_ncaa
X's and Omar: Should Dolphins move up in NFL draft to select a QB?	https://assets.msn.com/labs/mind/BBWKQFF.html	football_ncaa	4.0	Nov 2019	football_ncaa
Emails Outline Anti-Immigration Group's Connection to Stephen Miller	https://assets.msn.com/labs/mind/BBWM5Ro.html	newsus	557.0	Nov 2019	newsus
The best Airbnb under $100 in every state	https://assets.msn.com/labs/mind/BBWtN35.html	traveltips	1228.0	Nov 2019	traveltips
Detroit Tigers mailbag: Travel with Daniel Norris and wait for Casey Mize & Isaac Paredes	https://assets.msn.com/labs/mind/BBWAxvg.html	baseball_mlb	4.0	Nov 2019	baseball_mlb
Hamilton Schools to close Monday for longtime educator's funeral	https://assets.msn.com/labs/mind/BBWKQIm.html	newsus	18.0	Nov 2019	newsus
Bloomberg enters Arkansas primary ballot	https://assets.msn.com/labs/mind/BBWHKrN.html	news	4.0	Nov 2019	news
New Chevy Camaro Deal Offers 12 Percent Discount, But There's A Catch	https://assets.msn.com/labs/mind/BBWEOES.html	autosnews	1452.0	Nov 2019	autosnews
Vetiquette program teaches kids about character through stories of war heroes' sacrifice	https://assets.msn.com/labs/mind/BBWAxvi.html	lifestylefamily	8.0	Nov 2019	lifestylefamily
Series of SB I-71/75 crashes prompt pavement fix this weekend	https://assets.msn.com/labs/mind/BBWKQJE.html	autosnews	13.0	Nov 2019	autosnews
Permits for 20 new construction projects, 5 demolitions issued in Phoenix last week	https://assets.msn.com/labs/mind/BBWHKsV.html	newsus	3.0	Nov 2019	newsus
Zac Taylor says Bengals facing toughest stretch of next 20 years	https://assets.msn.com/labs/mind/BBWEOIB.html	football_nfl	34.99999999999999	Nov 2019	football_nfl
SMS provider said 168,000 Valentine's texts were delayed   now it says the number is higher	https://assets.msn.com/labs/mind/BBWtN7C.html	newsscienceandtechnology	4.0	Nov 2019	newsscienceandtechnology
Mason Rudolph has high praise for defense, and pressure	https://assets.msn.com/labs/mind/BBWAxws.html	football_nfl	116.0	Nov 2019	football_nfl
Legacy High School placed on lockout after threats made	https://assets.msn.com/labs/mind/BBWEOIz.html	newsoffbeat	37.0	Nov 2019	newsoffbeat
Leaping Lizards! Reptile Jumps From Man's Pocket During Police Search	https://assets.msn.com/labs/mind/BBWAxxP.html	viral	325.0	Nov 2019	viral
Michael Bloomberg Files To Run For President	https://assets.msn.com/labs/mind/BBWuiBa.html	financenews	6.0	Nov 2019	financenews
Why the Chiefs are struggling to finish off red-zone drives	https://assets.msn.com/labs/mind/BBWKQO4.html	football_nfl	35.0	Nov 2019	football_nfl
NFL Week 11 predictions: Indianapolis Colts vs. Jacksonville Jaguars	https://assets.msn.com/labs/mind/BBWM5dl.html	football_nfl	10.0	Nov 2019	football_nfl
Sausage and pepperoni recall from Ohio based company for Listeria	https://assets.msn.com/labs/mind/BBWAxxy.html	newstrends	22.0	Nov 2019	newstrends
John Legend, EGOT winner and 'Voice' coach, named People's 'Sexiest Man Alive' for 2019	https://assets.msn.com/labs/mind/BBWHKvp.html	peopleandplaces	9.0	Nov 2019	peopleandplaces
Apartments for rent in Irvine: What will $2,000 get you?	https://assets.msn.com/labs/mind/BBWM5e9.html	newsus	8.0	Nov 2019	newsus
$9 Million Breckenridge Chalet: Photo Gallery	https://assets.msn.com/labs/mind/BBWEORS.html	travelnews	60.0	Nov 2019	travelnews
Two killed after red Porsche crashes into second floor of building	https://assets.msn.com/labs/mind/BBWAy2n.html	news	3.0	Nov 2019	news
GOP senator defends calling Pelosi 'dumb': 'What I said was accurate'	https://assets.msn.com/labs/mind/BBWuiYe.html	newspolitics	10690.0	Nov 2019	newspolitics
Danica Patrick on radio show: Aaron Rodgers could propose 'tomorrow'	https://assets.msn.com/labs/mind/BBWuiZb.html	racing	24.0	Nov 2019	racing
Why lone wolf attacks are hard to combat	https://assets.msn.com/labs/mind/BBWM5gY.html	news	30.0	Nov 2019	news
Student's harrowing account of Saugus High School shooting: 'I was terrified I'd get a bullet to the back'	https://assets.msn.com/labs/mind/BBWM5gp.html	more_sports	5.0	Nov 2019	more_sports
Protesters blare Christine Blasey Ford testimony and dress up as handmaids outside Kavanaugh speech	https://assets.msn.com/labs/mind/BBWM5hc.html	newsus	503.0	Nov 2019	newsus
Police name suspect wanted in fatal stabbing at Popeyes in Oxon Hill	https://assets.msn.com/labs/mind/BBWEOU5.html	newscrime	134.0	Nov 2019	newscrime
Andrew Yang's Campaign Has a Lot of Money. Now What?	https://assets.msn.com/labs/mind/BBWAy4O.html	markets	8799.0	Nov 2019	markets
Corey Anderson believes Jon Jones is 'avoiding' him, fires back at Anthony Smith	https://assets.msn.com/labs/mind/BBWKQVF.html	mma	17.0	Nov 2019	mma
Climate activist Greta Thunberg to sail to Europe from Hampton	https://assets.msn.com/labs/mind/BBWHL8M.html	weathertopstories	4.0	Nov 2019	weathertopstories
Ingram, Okafor to sit vs. Clippers	https://assets.msn.com/labs/mind/BBWM5jQ.html	basketball_nba	18.0	Nov 2019	basketball_nba
25 Walmart Holiday Gift Bargains	https://assets.msn.com/labs/mind/BBWq38k.html	shop-holidays	69.0	Nov 2019	shop-holidays
Peanut allergy shots? A new Stanford-led study shows an antibody injection could prevent allergic reactions	https://assets.msn.com/labs/mind/BBWKQYx.html	health-news	145.99999999999997	Nov 2019	health-news
It is time to acknowledge Dak Prescott as the big-time quarterback that he is	https://assets.msn.com/labs/mind/BBWEOVi.html	football_nfl	17.0	Nov 2019	football_nfl
I'm 55 and have no retirement savings: What should I do?	https://assets.msn.com/labs/mind/BBWAyBC.html	finance-retirement	6649.0	Nov 2019	finance-retirement
Cleveland Clinic receives record-setting $261 million gift from Lord Foundation of Ohio	https://assets.msn.com/labs/mind/BBWHLBA.html	financenews	8.0	Nov 2019	financenews
FDA issues warning to Dollar Tree about selling 'potentially unsafe drugs'	https://assets.msn.com/labs/mind/BBWM5q2.html	health-news	152.0	Nov 2019	health-news
Can Patrick Mahomes climb back into the MVP race?	https://assets.msn.com/labs/mind/BBWuigQ.html	football_nfl	828.0000000000001	Nov 2019	football_nfl
Shackling Pregnant Inmates Barred In Ohio By Proposed Legislation	https://assets.msn.com/labs/mind/BBWKQdv.html	newsus	23.0	Nov 2019	newsus
Abandoned 'unicorn' puppy has a tail on its head	https://assets.msn.com/labs/mind/BBWHLBa.html	animals	17939.0	Nov 2019	animals
What's on TV Friday: 'Magnum P.I.' on CBS	https://assets.msn.com/labs/mind/BBWM5ry.html	tvnews	18.0	Nov 2019	tvnews
Robert De Niro to Receive SAG Life Achievement Award	https://assets.msn.com/labs/mind/BBWEOXV.html	movies-awards	113.0	Nov 2019	movies-awards
Australian fires burn through koala colonies, killing hundreds: 'It's a national tragedy'	https://assets.msn.com/labs/mind/BBWKQeL.html	newsworld	3396.0000000000005	Nov 2019	newsworld
MTA budget includes layoffs, fare hikes, staggering potential deficits	https://assets.msn.com/labs/mind/BBWM64M.html	financenews	4.0	Nov 2019	financenews
Apartments for rent in Chicago: What will $1,700 get you?	https://assets.msn.com/labs/mind/BBWEOYt.html	newsus	46.0	Nov 2019	newsus
Prince Albert on Twins Jacques and Gabriella: They're Starting to Say, 'Are We There Yet?'	https://assets.msn.com/labs/mind/BBWHLDG.html	lifestyleroyals	2345.0	Nov 2019	lifestyleroyals
Family told to take down Christmas display because it's too soon to decorate	https://assets.msn.com/labs/mind/BBWKQkg.html	lifestylebuzz	24303.0	Nov 2019	lifestylebuzz
Dominique Clifford, Luke O'Brien sign with Colorado Buffaloes	https://assets.msn.com/labs/mind/BBWHLEP.html	more_sports	19.0	Nov 2019	more_sports
Murray excited to see what next couple of years can bring	https://assets.msn.com/labs/mind/BBWEOkm.html	tennis	8.0	Nov 2019	tennis
5 Jaguars who are winners at the bye week	https://assets.msn.com/labs/mind/BBWuilU.html	football_nfl	14.0	Nov 2019	football_nfl
Zac Brown Band coming to St. Louis next year	https://assets.msn.com/labs/mind/BBWKQnu.html	musicnews	10.0	Nov 2019	musicnews
SPARE CHANGE: Remembering a veteran   my father	https://assets.msn.com/labs/mind/BBWM66X.html	lifestylefamily	4.0	Nov 2019	lifestylefamily
'Power interruption' downs OIA trams for 1 hour	https://assets.msn.com/labs/mind/BBWEOlK.html	newsscienceandtechnology	7.0	Nov 2019	newsscienceandtechnology
Dodge Put the Wrong Wheels on 173 New Challengers and Chargers	https://assets.msn.com/labs/mind/BBWtNVC.html	autosnews	3613.0	Nov 2019	autosnews
Group works to help veterans transition to top jobs	https://assets.msn.com/labs/mind/BBWAyic.html	newsus	69.0	Nov 2019	newsus
Hill dejected after narrowly missing Championship 4	https://assets.msn.com/labs/mind/BBWuitH.html	racing	6.0	Nov 2019	racing
Ayyy! Happy Days actors reunite to honor legacy of late Garry Marshall	https://assets.msn.com/labs/mind/BBWKQoL.html	tvnews	4.0	Nov 2019	tvnews
No-fault claims fee to drop 55% under new Michigan law; many motorists will pay nothing	https://assets.msn.com/labs/mind/BBWHLFO.html	newsus	21.0	Nov 2019	newsus
Esquire Names Local Restaurant Among Best In USA | Patch PM	https://assets.msn.com/labs/mind/BBWM67r.html	travelarticle	10.0	Nov 2019	travelarticle
Two suspects arrested in connection with the murders of a New Hampshire couple who were found in a shallow grave on Texas beach face court after being charged with stealing their RV	https://assets.msn.com/labs/mind/BBWtNW2.html	newscrime	180.0	Nov 2019	newscrime
Bruins Notes: Bruce Cassidy Details What Went Wrong In Loss To Red Wings	https://assets.msn.com/labs/mind/BBWuiuG.html	icehockey_nhl	18.0	Nov 2019	icehockey_nhl
Gas Cans To Help You Get A Little Farther Down The Road	https://assets.msn.com/labs/mind/BBWKQqS.html	autosmotorcycles	4.0	Nov 2019	autosmotorcycles
Duquesne University president weighs in on impeachment proceedings	https://assets.msn.com/labs/mind/BBWM67v.html	newspolitics	5.0	Nov 2019	newspolitics
Dallas Convention Center To Open As Temporary Homeless Shelter	https://assets.msn.com/labs/mind/BBWAytI.html	weathertopstories	126.0	Nov 2019	weathertopstories
See how Ann Arbor-area football teams fared in district finals play	https://assets.msn.com/labs/mind/BBWuiuM.html	football_ncaa	21.0	Nov 2019	football_ncaa
Miami Proud: Books & Books Owner Mitchell Kaplan Built Miami Book Fair Through Love Of Literature	https://assets.msn.com/labs/mind/BBWKQsP.html	travelarticle	8.0	Nov 2019	travelarticle
Ex-Astros say team electronically stole signs during 2017 season	https://assets.msn.com/labs/mind/BBWEOmr.html	baseball_mlb	7193.0	Nov 2019	baseball_mlb
'They're like children': How to keep pets safe amid record-breaking cold weather	https://assets.msn.com/labs/mind/BBWAyx9.html	weathertopstories	191.0	Nov 2019	weathertopstories
Swarovski Crystal Star Tops Rockefeller Center Christmas Tree	https://assets.msn.com/labs/mind/BBWHLHo.html	lifestylebuzz	8.0	Nov 2019	lifestylebuzz
Bay Area legend Carlos Santana recently added to San Francisco Mission District mural	https://assets.msn.com/labs/mind/BBWM6AK.html	musicnews	4.0	Nov 2019	musicnews
LSU's Mighty Joe Brady is making Mickey Mouse money in the college football world	https://assets.msn.com/labs/mind/BBWEOnU.html	football_ncaa	876.0	Nov 2019	football_ncaa
Popeyes worker accused of attacking patron who wanted refund	https://assets.msn.com/labs/mind/BBWAyyB.html	more_sports	87.0	Nov 2019	more_sports
Santa Clarita shooting: Saugus High School choir teacher treats wounded student in classroom	https://assets.msn.com/labs/mind/BBWM6AT.html	more_sports	11.0	Nov 2019	more_sports
Broncos at Vikings odds: Denver 10.5-point underdogs to Minnesota	https://assets.msn.com/labs/mind/BBWEOnW.html	football_nfl	15.0	Nov 2019	football_nfl
Jokic hits late jumper, Nuggets stun Sixers with big rally	https://assets.msn.com/labs/mind/BBWuivv.html	basketball_nba	126.0	Nov 2019	basketball_nba
Unusual machine tapped for unusual fix on dangerous section of I-71/75	https://assets.msn.com/labs/mind/BBWM6B0.html	autosnews	13.0	Nov 2019	autosnews
Thanksgiving Recipe Searches Reveal Virginia's Tastes	https://assets.msn.com/labs/mind/BBWEOoQ.html	newstrends	21.0	Nov 2019	newstrends
Justin Thomas to serve as College GameDay guest picker for Alabama, LSU	https://assets.msn.com/labs/mind/BBWtNaQ.html	golf	22.0	Nov 2019	golf
Wild's Parise grateful for scoring chances, regretful about misses	https://assets.msn.com/labs/mind/BBWuiyX.html	icehockey_nhl	6.0	Nov 2019	icehockey_nhl
The best true wireless earbuds you can buy this holiday season	https://assets.msn.com/labs/mind/BBWKR4Q.html	newsscienceandtechnology	10.0	Nov 2019	newsscienceandtechnology
LA Sweep: Angels' Trout, Dodgers' Bellinger win MVP Awards	https://assets.msn.com/labs/mind/BBWM6BH.html	baseball_mlb	738.0	Nov 2019	baseball_mlb
Apartments for rent in Indianapolis: What will $600 get you?	https://assets.msn.com/labs/mind/BBWEOqi.html	finance-real-estate	5.0	Nov 2019	finance-real-estate
Billboard warns 'Moscow Mitch' McConnell: Impeach Trump or 'lose your job'	https://assets.msn.com/labs/mind/BBWHLMK.html	newspolitics	13.0	Nov 2019	newspolitics
Secret Service gives update on security for 2020 RNC	https://assets.msn.com/labs/mind/BBWM6DC.html	newspolitics	13.0	Nov 2019	newspolitics
Check out the 4 top spots in Austin's West University neighborhood	https://assets.msn.com/labs/mind/BBWEOrj.html	newstrends	9.0	Nov 2019	newstrends
Greta Thunberg tells Ellen meeting Trump would be 'a waste of time'	https://assets.msn.com/labs/mind/BBWAzFt.html	viral	267.0	Nov 2019	viral
Siakam scores 44, Raptors beat Pelicans, 122-104	https://assets.msn.com/labs/mind/BBWuj0G.html	basketball_nba	1913.0	Nov 2019	basketball_nba
Don't underestimate the power of Facebook Pay	https://assets.msn.com/labs/mind/BBWHLNV.html	newsscienceandtechnology	8.0	Nov 2019	newsscienceandtechnology
Just Listed In Pittsburgh: Washington's Landing 4BR For $595,000	https://assets.msn.com/labs/mind/BBWAzLg.html	finance-real-estate	40.0	Nov 2019	finance-real-estate
?The creator of 'Dirty John' on what inspired his new podcast, 'Detective Trapp'	https://assets.msn.com/labs/mind/BBWEOto.html	newsus	26.0	Nov 2019	newsus
Tanker bursts into flames on busy Upstate highway	https://assets.msn.com/labs/mind/BBWAzNt.html	newsus	12.0	Nov 2019	newsus
Taylor testifies at impeachment hearing Sondland sent 'call me' text over Ukraine	https://assets.msn.com/labs/mind/BBWHLQV.html	peopleandplaces	8.0	Nov 2019	peopleandplaces
Gerrit Cole rejects Astros' qualifying offer, as expected	https://assets.msn.com/labs/mind/BBWM6IM.html	baseball_mlb	15.0	Nov 2019	baseball_mlb
1 dead in fiery fatal crash in Pleasant Ridge	https://assets.msn.com/labs/mind/BBWAzQd.html	travelarticle	6.0	Nov 2019	travelarticle
Suspected natural gas explosion blows roof off apartments in Lebanon, Illinois	https://assets.msn.com/labs/mind/BBWuj6P.html	newsus	6.0	Nov 2019	newsus
"Kojima is most proud of Death Stranding's ""positive"" shared-world multiplayer approach"	https://assets.msn.com/labs/mind/BBWtNgc.html	gaming	26.0	Nov 2019	gaming
College collects supplies for Bahamas and other Pasco news	https://assets.msn.com/labs/mind/BBWAzQv.html	newsus	5.0	Nov 2019	newsus
Don't look down while crossing this snow-covered bridge	https://assets.msn.com/labs/mind/BBWKRCB.html	newsus	16.0	Nov 2019	newsus
A century later, Naomi Osaka, Kei Nishikori can bring Japan Olympic tennis to forefront	https://assets.msn.com/labs/mind/BBWHLRu.html	tennis	5.0	Nov 2019	tennis
In speech, Megan Rapinoe praises Colin Kaepernick: '(He's) still effectively banned from the NFL'	https://assets.msn.com/labs/mind/BBWEOw6.html	football_nfl	61.0	Nov 2019	football_nfl
Mural of activist Greta Thunberg going up in San Francisco	https://assets.msn.com/labs/mind/BBWtNil.html	newsus	9836.0	Nov 2019	newsus
Apple tried and failed to break RED's stranglehold on RAW video	https://assets.msn.com/labs/mind/BBWAzVr.html	newsscienceandtechnology	89.0	Nov 2019	newsscienceandtechnology
Celtics Enes Kanter To Miss Seventh Straight Game Saturday Vs. Spurs	https://assets.msn.com/labs/mind/BBWuj8u.html	basketball_nba	11.0	Nov 2019	basketball_nba
Baltimore hits 300 homicides for fifth year in a row	https://assets.msn.com/labs/mind/BBWKRDa.html	newscrime	52.0	Nov 2019	newscrime
Economist: Warren's Medicare for All plan won't raise taxes on the middle class	https://assets.msn.com/labs/mind/BBWHLSI.html	newsopinion	12.0	Nov 2019	newsopinion
Darnold: Another year with Gase will be 'absolutely amazing'	https://assets.msn.com/labs/mind/BBWM6Mw.html	football_nfl	7.0	Nov 2019	football_nfl
